country,description,variety
Argentina,"Sharp, pickled and sour smelling at first, although it does improve with airing. The palate has a good feel and proper size and roundness, yet the berry flavors are ultraherbal. Some oak and spice is detected on the finish. Unappealing on the nose; better on the palate.",Malbec
Argentina,"At $7 a liter the price might be right, but that's about as far as we're willing to go in praising this boxed combo of Chardonnay with 10% Torrontés. The wine has mushy aromas of corn and hay, while the apple flavors are mealy and bring back some of the baked corn from the nose. Candied on the finish and flat.",White Blend
Argentina,"Heavy and raisiny stuff, with thick but narrow black plum fruit boosted by a streak of acidity that doesn't do much besides make things fiery. Poorly balanced Cab-Malbec, even for box wine.",Cabernet Sauvignon-Malbec
Argentina,"Gold in color and heavy, with melony aromas and citrusy, melony flavors that end fast and veer toward bitter. Quite heavy and seemingly on the fade; there aren't many reasons to go here, chief among them the weird blend of Chardonnay and Sémillon.",Chardonnay-Semillon
Argentina,"Past its sell-by date, with mealy aromas and dull flavors of apple and banana. The feel is flat, the acidity is not there, and the finish is bland and a little bitter.",Sauvignon Blanc
Argentina,"Heavy hayfield aromas are oxidized, and the flavors of almond peel, citrus pith and baked banana do nothing to impress. Not a fresh or healthy wine, if it ever was. Past its prime.",Sauvignon Blanc
Argentina,"A step down from the respectable 2007. This vintage of Elsa Torrontés is weak and candied, with a sweet, buzzy almost bubbly palate. Tastes green and soda-like, with scallion and alfalfa notes.",Torrontés
Argentina,"Off the grid and strange smelling, with jumbled aromas that are hard to describe. Exceedingly sour and lean on the palate, with a vegetal finish.",Malbec
Argentina,"This is one of three new single-vineyard Malbecs from venerable Trapiche, and it proves that with rich, old-vine fruit winemaker Daniel Pi can make ultramodern vino that will please New World palates the world over. This particular bottling is a potent brew of well-oaked juice that shows wintergreen, menthol and a ton of blackberry, black cherry and coffee. It isn't fooling around, that's for sure. Imported by Frederick Wildman & Sons, Ltd.",Malbec
Argentina,"Minty, herbal and slightly grassy on the nose, and of course there's berry fruit to boot. The palate has normal feel and balance, with regular red fruit flavors from the currant and cherry family. Lengthy on the finish, but overall it's as basic as they come.",Malbec
Argentina,"Brickish in color, and seemingly thin. Aromas of baked fruit, compost, tobacco, vanilla and burnt coffee are challenging, while the palate is earthy and tastes leafy as well as sweet. On the positive side, it's neither heavy nor overdone. On the negative side, it's thin and on the fade.",Merlot
Argentina,"A little burnt and rubbery on the nose, but with enough lemon and apple to balance things out. The palate is fleshy and soft, with banana and lemon as the lead flavors. Shows a bit of pithy bitterness late, but overall it's good if you like sweet, warm Chardonnays.",Chardonnay
Argentina,"Floral but dilute, with mild red fruit scents mixed with herbal fern and juniper aromas. The palate has a good but innocuous mouthfeel, and overall it's fresh but simple, with herbal, generic red fruit and dried oregano flavors.",Cabernet Sauvignon
Argentina,"In recent years Michel Torino has been making better and better Malbec, and this vintage is the best we've tasted. It offers sweet fruit and marzipan on the nose, while the big, chewy palate is lush and packed with berries, vanilla and chocolate nesting on pillowy tannins. Very chummy and almost lavish. Imported by Frederick Wildman & Sons, Ltd.",Malbec
Argentina,"A tough sell at this price. The nose is minty, green and smells of tobacco, spice and fern fronds, while the palate is tangy, clangy in feel and dry. Flavors of semisour, herbal cherry and plum are touched up by sweet oak, but overall it's rather dry and scouring.",Red Blend
Argentina,"Red in color, with neutral aromas of red apple skins. The palate is sticky and weighty, and the taste is akin to fruit punch with tangerine on the side. Tastes o.k. but is too full, chunky and heavy to be refreshing",Malbec
Argentina,"The second wine from Bodega Noemía de Patagonia is an unbridled winner in 2004. It's ripe and saturated, with a warm and spicy nose that blends just the right amount of rusticity with blackberry and plum. Quite a heavyweight with some raw oak, chocolate and mocha. Everything that fans of Argentine Malbec are looking for is on stage here. Imported by Vias Imports.",Malbec
Argentina,"Dark purple in color, but more leafy and murky than you'd expect on the nose. The palate has texture and weight, but it's also kind of dull feeling, which matches the wine's chunky, dull flavors. Decent enough, but still too herbal and challenged.",Malbec
Argentina,"Deep and jammy on the nose, and nothing if not potent. But elegance, clarity and sophistication are nowhere to be found as the wine's grapey, soupy, flat character takes over. Bitter on the finish, and throughout there's little to latch onto besides weight and heft.",Malbec
Argentina,"Two vintages of this wine are on the books, and frankly something isn't clicking. After a flat-out weak wine in 2007, this one is showing raisiny, pasty, lactic qualities and too much clumsy sweetness. It's like a cloying ball of blackberry candy accented by bacon fat.",Malbec
Argentina,"Fully oaked, so the nose deals plenty of coffee and maple. Under that there's vibrant red-cherry and cassis flavors amid firm tannins. The finish is solid and spicy, with chocolate folded in. Although it is a bit gritty and hard now, each additional month you hold it the hardness will dissipate. Made of 70% Malbec and 30% Bonarda.  Imported by 57 Main Street Wine Co.",Red Blend
Argentina,"Smells strange, like a bowl of Smucker's raspberry jam or applesauce. The palate is creamy and dull, with flat, jammy, candied red fruit flavors that do little to excite. Finishes with a wave of sweet marshmallow and vanilla.",Cabernet Sauvignon
Argentina,"Salmon colored, with soapy tangerine and nectarine aromas. The palate is watery and soft, with bland citrus and berry flavors. Comes across like a wine cooler that's lost its fizz.",Malbec
Argentina,"Among the new crop of Patagonian Malbecs, this wine shows a sly style. It's not that full of bells and whistles but it does offer plenty of ripe red fruit such as cassis, cherry and strawberry. Blended in are touches of tobacco and leather. Goes down smooth and easy; registers more lush and ripe than anything. Imported by S&F; Trading Company.",Malbec
Argentina,"A rough, harsh nose of mustard and burnt stems does almost nothing to draw you in, while the palate is heavy and sweet, with cloying fruit flavors and weak structure. Not up to par on the global level.",Chardonnay
Argentina,"Impressive and saturated, with ripe aromas. The mouth is focused and, generally speaking, quite rewarding. The blackberry and dark plum flavors are big and aggressive. If there's any one place the wine doesn't wow, it's on the finish, which is short and a bit sharp-edged. Needs food. Imported by Billington Imports.",Malbec
Argentina,"Yet again this relatively affordable wine shows the charms and potential of Argentinean Malbec. It has a beautiful color and full, fruity aromas. The palate runs a bit snappy and upright, with cherry-based fruit that will go great with any type of grilled or braised meat. Clean, ripe and tasty, with the slightest bit of perky acids. Imported by Billington Imports.",Malbec
Argentina,"As good as it gets from Argentina. Winemaker Jorge Riccitelli has artfully crafted a bruising but lovable modern Bordeaux blend that hits every note on the head. The nose offers black olive, berry essence and a ton of chocolate, while the tannic but balanced palate sports luscious black cherry, cassis and more. For a stud of a wine, it has nuance and character—meaning it's not just a fat fruitball. At 70% Malbec with Merlot and Cabernet, this is the ideal wine for a great steak. Just 250 cases produced.",Bordeaux-style Red Blend
Argentina,"Frenchman Bernard Magrez is building a global brand via high-quality, smartly named wines such as this (La Bienvenida means The Welcoming in Spanish). But the cuteness ends there; this is serious Malbec with maple, leather and coffee aromas in addition to rich berry scents. The palate is integrated and deep, with lively acidity and tannins but enough cuddly fruit to ensure balance. An excellent Argentinean debut for Monsieur Magrez. Imported by Bernard Magrez USA.",Malbec
Argentina,"Is there a better, more consistent Malbec on the market today than Punto Final? The 2005 is typically rich and dense, with saturated berry aromas and a strong but balanced oak element. The palate is a potpourri of berries, chocolate and vanilla, while the mouthfeel is juicy and stacked. Quite delicious; this is the type of wine that gives Argentine Malbec its good name.",Malbec
Argentina,"Purple as can be, with a loaded bouquet of black fruit and oak. This is your classic heavyweight, and while 2004 was not a great vintage in Mendoza, this wine still shows excellent depth, weight and balance. Firm on the finish, with big tannins and grab. Production was only 175 cases; drink now–2009. Imported by Southern Wine Group.",Malbec
Argentina,"Attractive and well put together from start to finish. This Cab (with 15% Malbec) is jammed with cassis, raspberry and other juicy berry flavors, while the lushness of the wine rolls over your palate with ease. It's not easy to find Cabernet this good in the $20 range, so get after this one while it's under the radar.",Cabernet Sauvignon
Argentina,"Nothing is hidden in this bruising, forward Cab. The nose is oaky as can be, but also endowed with intense black fruit. The palate might register as soft to some, but there's still a tannic foundation that bolsters blackberry, spice cake and molasses flavors. Not super long on the finish but intense in a lumbering sort of way. Drink now–2011.",Cabernet Sauvignon
Argentina,"This is a delicious and somewhat rare style of Malbec: it has none of the usual oak. What you wind up with is fruity, clean and pure. The body is maybe a touch leaner without the oak; the flavor profile is brighter and more linear.",Malbec
Argentina,"Regal and ready, and showing equal amounts of early maturity along with youthful fruit and menthol aromas. The palate is saturated with raspberry and black cherry, while the lengthy finish offers coffee and chocolate. Drive and power are not in short supply, so take this one with fatty foods like ribs or steak.",Malbec
Argentina,"Rich, warm and possessing a ton of dry oak, this is one serious Argentine Cabernet. The palate is grippy as a rubber glove, with snappy berry flavors and pointed acidity. It's ripe, racy and edgy, with substance to the fruit, feel and finish. Drink now through 2010.",Cabernet Sauvignon
Argentina,"Here's another success from Bodega Norton. The nose is rich and big, with crusty chocolate and coconut aromas. More chocolate blends with blackberry and pepper in the mouth, while on the finish there's sexy layered darkness. It's New World pomp and pleasantness in all its glory.",Cabernet Sauvignon
Argentina,"This wine needs time to get its legs underneath it. It comes on young and rugged and gamy, but if you let it sit and air out for 20 minutes it turns deeper, riper and much more fruity. And by the time it settles you're smack dab in the middle of mountain berry and other natural flavors. Will get better with some bottle time.",Malbec
Argentina,"If you don't mind a little overt wood on your Malbec, then this will certainly do the trick and more. The nose offers some maple and mature berry aromas, while the palate pumps oak-infused black cherry fruit. Lengthy on the finish, with mocha and vanilla. Like we said, it's a bit toasty and woody, but overall it works like a charm.",Malbec
Argentina,"Few Argentinean wineries are doing everyday red wines better than Chakana. A case in point is this excellent, superbly balanced, easy-drinking Cab. The nose is meaty, earthy and magnetic, while the palate is ripe, harmonious and full of cassis and raspberry. It's fruity more than complex, with stature and style.",Cabernet Sauvignon
Argentina,"Color, power, flavor and commendable balance; that's pretty much the format for Punto Final, one of Argentina's go-to brands for Malbec. This youngster is ripe and ready, and it holds form onto a long finish. If it seems a little young and clumsy upon pouring, air it out and it'll improve.",Malbec
Argentina,"Even if this full-bodied Cab starts with some eggy, pastry-like aromas, it soon finds its form. The nose brings char and baked black fruit, while the palate is full of creamy blackberry and brown sugar flavors. Rather rich and ripe, with medium tannins and mild acidity. Drink sooner than later.",Cabernet Sauvignon
Argentina,"Mauricio Lorca makes wine for Enrique Foster but his private label is something to keep an eye on. Poetico is potent and fairly pure; and it contains 10% Cabernet and 5% Syrah in addition to 85% Malbec. The palate delivers hearty blackberry, plum and vanilla flavors, while the finish is sturdy as a statue, with length and firm tannins.",Malbec
Argentina,"In the past this was a Bordeaux blend but now it's all or almost all Malbec. And because it hails from cooler Tupungato it features floral aromas more than heavy berry scents, and in the mouth it's all about red fruit as opposed to beefy black fruit. If it's a bit short on the finish, chalk that up to its racier, more streamlined frame.",Malbec
Argentina,"Pure, jammy and heady: voilà, it's modern Malbec. The palate here is inviting, with decadent plum and blackberry flavors working in tandem. The finish is plush at first, with chocolate and espresso notes coming later. With plenty of virtues, this is a very nice wine from an average vintage.",Malbec
Argentina,"Fast becoming one of Argentina's most reliable value brands, Altosur got it right in 2006 with its basic Malbec. The wine is full, chewy, healthy and bright. It has all the attributes of good, young Malbec: plums, berries and chocolate, with lushness and some style.",Malbec
Argentina,"Starts out sort of soft and shy, with modest red-fruit aromas. In the mouth, raspberry and cherry flavors get a quick lift from grabby, firm tannins. And by the time this baby hits its groove you're onto a finish defined by a starchy feel and long-lasting Cabernet essence. Airing is this wine's best friend; decant or drink over time.",Cabernet Sauvignon
Argentina,"The bouquet is fairly tight, with aromas of coffee, crushed minerals, crude oil and fine herbs. The palate runs snappier than most high-end Malbecs, but it also delivers on the promise of ripeness and black-fruit flavors. Finishes in healthy fashion, with some slickness and speed. Very nice and likely even better with food. 1,000 cases made. Imported by Slocum & Sons.",Malbec
Argentina,"Here's a nice wine that pushes the right buttons while not raising any red flags. Raspberry and vanilla flavors are solid and pleasing, while the medium-weight palate features depth and balance. This is not the richest, most overpowering Malbec you'll find, but it comes from 75-year-old vines and its virtues far outdistance its faults.",Malbec
Argentina,"Quite earthy and ripe, as tree bark, leather and prune make up the bouquet. The mouth is lively and snappy, with red fruit taking over and holding reign. Sheer, zesty and juicy describes the mouthfeel, while overall the wine delivers depth and integrity. Not overly complex but very good and straightforward.",Cabernet Sauvignon
Argentina,"Good wine, especially if you like some new oak that brings a lot of cream, vanilla and chocolate to the game. Along the way there's plenty of boysenberry, blueberry and other sweet dark-fruit flavors. A winner that should meet the expectations of many.",Malbec
Argentina,"Robust and with a touch of raisin, this full-bodied Cab hits many correct notes. The oak may be a bit buttery and the tannins fairly full, but overall this does a good job of impersonating a much pricier wine; it's big, liberally oaked, ripe and quite good as a whole.",Cabernet Sauvignon
Argentina,"Overt oak is the first thing you encounter on the nose, but underneath the heavy wood covering is a polished and sincere wine. The mouth is lively and juicy, with commendable plum and raspberry flavors. And while the finish is sort of basic in its vanilla and chocolate character, it has a nice feel to it. A wine with virtues but maybe a touch too much new oak.",Malbec
Argentina,"Full and inviting up front, with hickory and leather in addition to dark-fruit aromas. This is a collaboration between two Italian buddies and the wine features black cherry and plum flavors but also rather grabby, heavy tannins. It's ultimately chewy and a bit hard, but still it's eminently satisfying.",Malbec
Argentina,"Still not sure what the difference is between Sur de los Andes and Alma de los Andes (they're from the same winery), but this wine seems a tiny bit more open and friendly than the Alma. It's evolved, sweet and full of blackberry and blueberry flavors. And the finish carries some warm baked notes that anchor the deal.",Bonarda
Argentina,"Santa Julia doesn't try to trick you with its wines. They are what they are, and for under  10 this creamy, berry-packed wine should please the masses. The fruit is plump and ripe, while the mouthfeel is round and healthy. A great model for quality, affordable Malbec.",Malbec
Argentina,"Sauvignon Blanc is far from being Argentina's signature grape, so the fact that this one from San Juan province is legitimate, crisp and varietally correct is impressive. Beyond that, the wine delivers true lime, passion fruit and citrus aromas and flavors. Fresh and easy to like.",Sauvignon Blanc
Argentina,"If you've never tried Argentine Bonarda, Chakana is a good place to start. The nose offers the varietal's typical vulcanized rubber and dark-fruit aromas, while the palate is smooth and full of straightforward blackberry. Complicated it's not, but it is pleasant.",Bonarda
Argentina,"Dark to the eye and nose, with aromas of rubber, black fruit and lots of sharp-edged oak. Wood more than fruit controls the front of the palate and the finish, but inbetween the folds you'll find plump berry and black pepper flavors. A nice Malbec but arguably a little heavy on the oak.",Malbec
Argentina,"This reserve-level Chardonnay isn't that expensive yet it shows considerably more balance and complexity than the winery's regular Chard. This version offers peach and other stone-fruit aromas, while the palate presents smooth white fruit and toast flavors. Fairly long, with a healthy feel throughout.",Chardonnay
Argentina,"As always, this late-harvest white delivers peach and lychee aromas, and it's even better in the mouth, where intense lychee and pineapple flavors rise up and steal the show.",Torrontés
Argentina,"Like most of Alma's wines, this Bonarda is smooth, fruity and approachable. The nose is simple and offers some spice, licorice and herb notes, while the berry flavors are just as they should be: easy and jammy. There's nothing challenging about this red; just pour it with pizza or burgers and enjoy.",Bonarda
Argentina,"Punchbowl melon and tropical fruit aromas are the lead act. Next up is a zesty palate of green apple, melon and citrus. The body is a bit plump and round, while the finish shows orange peel and lime zest. Good for Mendoza Sauv Blanc.",Sauvignon Blanc
Argentina,"Warm earth and other dark, leathery aromas dominate. In the mouth, there's black cherry and raspberry flavors supported by scratchy tannins. Despite some grab and clumsiness, this is a good Cabernet with ripeness and a forward personality.",Cabernet Sauvignon
Argentina,"Starts out all rowdy and sweaty, with animal hide and warm earth. And that all makes sense: this is unoaked, unmolested Syrah and thus it has its funky side. Along the roadside there's blackberry and pepper flavors and peppy acids and tannins. An interesting ride that's not without its ups and downs.",Syrah
Argentina,"We've been watching this wine for several years and it doesn't seem to be on the upswing. This vintage is good as Cabernet goes, but it comes across a little racy and jumpy. The mouthfeel runs tight and the tannins are spunky and on the border of being rough. Maybe another year will settle it down.",Cabernet Sauvignon
Argentina,"Simple red-fruit aromas, sweetness and balance come right away on the bouquet, and the palate is basically the same thing: pleasant strawberry and raspberry flavors and a good feel. Nothing fancy but smooth and fun to drink. Commendable given that production is 50,000 cases.",Malbec
Argentina,"Leather, mint and a touch of raisin make for a fairly ripe and mature bouquet. The palate follows with reasonably vibrant berry flavors and a little chocolaty heft. If it falls a bit flat on the tail that only means that it's not for aging and is meant to drink now.",Malbec
Argentina,"Spunky and funky on the nose, with some heat and bramble. There's definitely a gamy side to this wine, but as it airs it picks up more of Malbec's trademark feel and fruit. Not as forward and clean as it should be; but has its benefits. Imported by Southern Wine Group.",Malbec
Argentina,"Black fruit and a hint of tire rubber work the nose, and that's backed up by raspberry and sweet vanilla flavors. This wine is pretty good overall, with depth and push, but it's also a bit starchy and slightly green at its core.",Malbec
Argentina,"For an average vintage this is an average wine. It has some bramble, leather and mild green notes to the nose, which are backed by red-fruit and brambly flavors. The feel is fresh and racy due to firm acids. Not the most expressive wine going, but nobody is going to call it flat or flabby.",Malbec
Argentina,"Young and sturdy, with pear and apple aromas enveloped in popcorn and wood. The palate offers standard New World weight and sweetness along with flavors of pear, vanilla and oak. More on the full-bodied, oaky side, but generally it's balanced and approachable.",Chardonnay
Argentina,"A little damp and heavy, with molasses, stewed berry and char on the nose. The palate, however, is fairly jumpy and alert; fiery berry flavors hit with force and some heat. On the finish you'll find berry essence and some bramble. Is it slightly green at its core? We think so. Imported by Southern Wine Group.",Malbec
Argentina,"Simple but nice in its class. The nose offers bulky but clean fruit and a touch of saddle, while the palate is ample, fruity and round. It flairs out on the finish but keeps rolling in the right direction. Good for the price.",Cabernet Sauvignon
Argentina,"Getting pricey as Argentine Chard goes, this moderately rich wine has true aromas and flavors, meaning there's some apple, pear and butter to sniff and vanilla-tinged peach and melon to taste. Not as complex or complicated as maybe it should be, but easy to like.",Chardonnay
Argentina,"The wood is a bit forced, and overall this wine has a heavy, full-fruited personality. But the depth and ripeness are pretty nice and the blackberry, dark plum and cassis flavors are earnest. A bit tannic and not all that varietal.",Cabernet Sauvignon
Argentina,"Honeysuckle and other sweet aromas greet you. In back of that there are flavors of pineapple, mango and apple. This runs crisp and tangy with more lemon-drop character than butter or vanilla.",Chardonnay
Argentina,"Soft, lightly fragrant and peachy, with a hint of talcum powder to the nose. The palate offers your basic mix of melon and lychee, while the feel is good and there's a persistent finish. Straightforward stuff.",Torrontés
Argentina,The nose kicks off with ripe apple and zest and draws you in. The palate is live-wire pineapple and green apple with plenty of tang and a worthy mouthfeel. Even on the finish it holds the line.,Sauvignon Blanc
Argentina,"Sweet pear and powdered sugar carry the confected nose, while the palate is also on the sweet side, with sugared citrus and banana flavors. Feelwise, there's adequate acidity to keep it wet and juicy, while the finish is candied but not what you'd call sticky. Imported by Quintessential Family of Wines, LLC.",Chardonnay
Argentina,"For an affordable Argentine Chardonnay, this is not a bad effort. But it is a little oily and loaded down with movie popcorn and buttery aromas. Medium in depth, with candied flavors and a peppery bitterness to the finish.",Chardonnay
Argentina,"A little charred and bulky, but pretty good for a basic New World Cabernet. The nose is a mix of ripe fruit, licorice and herbs, while the palate is tame and veers to strawberry. Simple and a touch herbal.",Cabernet Sauvignon
Argentina,"Good but sort of generic. The nose exudes strawberry and milk chocolate, and the palate features blueberry fruit and some citrus-like acidity. The mouthfeel is a bit raw and tangy, but overall it is clean and presents itself well.",Syrah
Argentina,"Fading fast; this plump, hot-climate Chard is pretty much as expected: there's lots of oak covering peach, butterscotch and apple cider aromas and flavors. Borderline cloying.",Chardonnay
Argentina,"Fairly sweet on the nose, with plum and a touch of spice. Things get more rugged in the mouth, where cherry and blackberry flavors carry a medicinal edge. A big Syrah but also a clumsy, heavy-handed one. Proceed with caution.",Syrah
Argentina,"Some dry oak and smoke frames simple earth and berry aromas, but the mouth is condensed and flat. There isn't much bounce to this overripe red; it's heavy and seems to have caught a lot of sun in the vineyard.",Malbec
Argentina,"Novus' basic Cab is probably a better wine for the money. This one seems to want to justify its reserve status by offering more oak. But that oak carries that creamy vanilla and carob flavor, making the wine sticky. And maybe the raw material is a bit overripe as well.",Cabernet Sauvignon
Argentina,"Intense on the nose and colorful, but in the end this wine shows little character, complexity or style. It's all about color and extract but you don't get much richness, charm or ripeness. And it's almost sassy and tangy on the palate and finish.",Malbec
Argentina,"Not sure exactly what's happening at Bianchi in San Rafael. A few years back Bianchi's wines were almost all exemplary but lately they've been all over the map. This overoaked, charred Cabernet is a perfect example of a wine without a cause. It's burnt, herbal and while it has mouthfeel, nothing seems to be working in tandem.",Cabernet Sauvignon
Argentina,"Light and spicy, with snappy, lean flavors of cherry and cranberry. This is more tart and underwhelming than most Malbec fans probably want, but it's not bad if you crave a lip-smacking red with zest.",Malbec
Argentina,"Jammy on the nose, with a touch of hard cheese backing that up. The mouth is jumpy and rustic, with raspberry and cherry skin flavors. Finishes lean, scouring and a bit hard.",Bonarda
Argentina,"Sort of soupy and stewy to begin with. The palate is stocky and forward, with short black plum and berry flavors. Quite ripe on the back end as it finishes chewy and soft. Organic.",Malbec
Argentina,"All in all this isn't a bad little wine for the price. It is a touch musky and heavy on the nose, but the palate holds form as it delivers round banana and melon flavors along with some vanilla and sponge cake on the finish.",Chardonnay
Argentina,"A bit heavy and bitter, but otherwise this is pretty decent. Not much can be said about the mild nose: it's typical but not that expressive. The palate, meanwhile, has a lot of weight and peach-pit bitterness, while the finish is a bit sluggish.",Torrontés
Argentina,"Warm and oaky up front, with menthol. The palate is short and feels kind of flat as it offers up standard raspberry and other red-fruit flavors. Finishes with milk chocolate notes but overall it doesn't have much texture or personality.",Cabernet Sauvignon
Argentina,". Pencil eraser, tomato leaf and sweet fruit aromas are the appropriate set up to a candied palate that's sweet with cherry and strawberry essence. It's a wine with kick but it has also has chunky side.",Cabernet Sauvignon
Argentina,"Rather raisiny and herbal, with deep plum and blackberry flavors. It's a weighty wine with a finish that runs straight to prune and chocolate. A bit heavy and dull even at this everyday price point.",Malbec
Argentina,"Quite syrupy and stewy, with chunky fruit flavors and a lot of wayward heft. On the plus side there's coffee and bitter chocolate, but overall there's just not much elegance or lightness.",Malbec
Argentina,". The citrus and grapefruit aromas come across a little mealy and the wine never really rises above its candied citrus and apple cider qualities. It is pretty good on the tongue, however, and feels juicy. If chilled down it won't be a bad quaff.",Sauvignon Blanc
Argentina,Spearmint and dry red fruit carry the nose. The palate shows basic sweet cherry and strawberry flavors but not much Cabernet character. All in all it's a stripped-back wine that offers rudimentary red-fruit character.,Cabernet Sauvignon
Argentina,"Wines can be big and loaded with everything, yet still be hard to enjoy. This is a case in point: It weighs in at 15% and brings searing aromas of tree bark, char and shoe polish. The palate is a saturated fusing of berry syrup, chocolate and alcohol. Almost Port-like in weight and style, but also very aggressive.",Syrah
Argentina,"A stewy Cabernet; the nose mixes cola with Fernet Branca and never does the wine approach anything we might label charming. It's linear and tight, with narrow flavors of cranberry and cherry. Short on texture and never shows much variation.",Cabernet Sauvignon
Argentina,"Vanilla and floral aromas have a suspicious artificiality to them, and in the mouth it's a sweet, sugary ride toward a cloying finish.",Chardonnay
Argentina,"The bouquet hits with reduced aromas of children's vitamin and pineapple, while the palate goes straight to hard cider and orange peel. It's a firm, acidic style that finishes citric and a touch bitter. Doesn't really smell or taste much like Chardonnay.",Chardonnay
Argentina,"Granular and syrupy on the nose, and that same thickness of fruit is resurrected on the palate. Gritty on the finish, and sweet and lifeless as a whole.",Bonarda
Argentina,Nail polish on the nose along with clay will have you wondering. The palate on this organic wine is also a bit shaky; rubbery cherry and raspberry flavors are lean and the aftertaste is fiery. Too unusual and challenging.,Syrah
Argentina,"Ripe to overripe apple grips the nose, while the palate deals one-note citrus flavors. It's a flush, fat Chardonnay that's losing balance with each passing day. Finishes with an avalanche of orange character.",Chardonnay
Argentina,"Floral red fruit aromas settle on raspberry and plum, and there's not much obvious oak or darkness. Round and juicy on the palate, with spicy and sweet blackberry along with clove. Integrated and solid, with a lightly toasted, chocolaty finish.",Malbec
Argentina,"On the bouquet it leans toward ripe and heady but there's also a strong herbal and tomato element that creates a green element. Feels full but choppy and tannic, with berry, tomato and spice flavors. Feels warm on the finish, with herbal shadings. Drink now; Malbec with Cab Sauvignon, Merlot, Cab Franc and Petit Verdot.",Bordeaux-style Red Blend
Argentina,"Tropical aromas blend nicely with honey, peach and fresh-cut hay notes. The palate is focused and properly acidic, with lemon, green apple, vanilla and toasty flavors. Perfectly fresh and easy on the finish, with good citric carry through.",Chardonnay
Argentina,"With ripe yet oaky aromas, this is a basic Malbec to enjoy with simple foods. The palate is juicy but comes with a buttery, creamy feel. As for flavors, look for buttery oak riding on top of modest, quick-hitting berry. On the finish, it's oaky more than fruity.",Malbec
Argentina,"The nose on this Syrah is attractive as it doles out spicy, earthy berry fruit aromas that are typical for the Cafayate region of Argentina. In the mouth, however, the wine is hard and short, with oaky, herbal flavors of roasted fruit followed by green notes and raw oak on the finish.",Syrah
Argentina,"This is a meaty, toasty style of Malbec with heady berry aromas that become gritty with airing. A full and deep palate hosts toasty, ripe plum flavors along with lots of oak, which leaves a toasted and hot finish that's also minty.",Malbec
Argentina,"Concentrated and jammy smelling, with a note of iodine to go with racy black fruit aromas. Dense as night in the mouth, with gamey, roasted berry flavors. Turns minty on the finish, with a hint of herbal green. Fruity and nice but lacks that final gear.",Malbec
Argentina,"Stocky, smoky and well composed on the nose, with aromas of blackberry and hickory leading the charge. Shows pulse and concentration on the palate as toasty oak, chocolate and chewiness blend nicely with black fruit and cassis flavors. Firm, deep and tannic on the finish.",Cabernet Sauvignon
Argentina,"This comes out swinging, with bullish berry and prune aromas that hint at being stewy but then pull back. It's saturated and tannic but not rough, with black fruit, chocolate, toast and pepper flavors. Minty and dark, with a licorice note on the finish. Drink now–2016.",Red Blend
Argentina,"This big, lush, friendly and serious Malbec is packed with prune, blackberry and toast aromas. On the palate, it's deep and layered, the perfect bed for flavors of blackberry, chocolate and herb to fill. Huge for sure, but still complex, with dynamite prune and licorice notes on the finish. Drink now–2015.",Malbec
Argentina,"The nose of this Malbec is fresh and shows black-fruit and plum aromas. Medium bodied, with plum, red berry and herbal flavors. Tasty on the finish, this delivers all the basics for $10.",Malbec
Argentina,"This Syrah leads with standard berry and chocolate aromas. The mouthfeel is largely fresh, and while there's creamy oak as part of the flavor package, there's also good berry character and mint.",Syrah
Argentina,"This light, tropical wine captures the positives of Torrontés. The nose offers melon and mango, with no bitter notes. A citrusy, bouncy palate delivers spiced orange and pink grapefruit flavors before finishing juicy and chalky.",Torrontés
Argentina,"Opens with prickly, slightly stemmy aromas. The palate, however, is smooth and round, with chunkiness and roasted flavors of raspberry and plum that are true to warm-climate Pinot. Finishes warm, a bit toasty and chocolaty. Weighty but achieves balance with airing.",Pinot Noir
Argentina,"Raspberry, leather and baked aromas are the entry to a lush palate that registers as soft and chunky. Baked, savory flavors of bacon, blackberry, mocha and earth finish smoky and with an echo of cured meat. This is warm but not hot or sticky.",Cabernet Sauvignon
Argentina,"With light, tropical aromas of melon and mango combined with a juicy, clean palate, this is a good PG. Peach, nectarine, melon and papaya flavors finish with citrus notes. Drink this patio white as soon as possible.",Pinot Gris
Argentina,"With hard, rubbery aromas and a lot of black fruit notes, this wine registers as textbook Bonarda. The palate is bouncy and full feeling, but not complex, while flavors of dark fruits, leather and herbs set up a crisp and drying finish.",Bonarda
Argentina,"Woody on the nose, with aromas of tree bark, pepper, cola and black fruit. The palate is tight but under control, with spiced black plum and herbal berry flavors. Toasty and healthy on the finish, but also slightly bitter tasting, with zesty lasting acidity.",Malbec
Argentina,"Full and forward smelling, with generic, slightly hot berry aromas. Feels good and tight, with a firm structure and sweet, lush red berry flavors. Narrows down on the finish, focusing on ripeness and red fruit. Nothing sour or astringent here.",Malbec
Argentina,"Foxy aromas are in the lead, backed by milk chocolate, a pinch of volatility and minty berry. The feel is good, with candied, herbal flavors of sweet berry and cassis. Sweet, sturdy and still a bit foxy on the finish.",Malbec
Argentina,"Lean and angular on the nose, with crisp cherry and rhubarb aromas. Surprisingly elegant in the mouth, with citrus notes, zesty raspberry, clean cherry and a lightness of being. Nice in an unassuming way, with a touch of complexity.",Pinot Noir
